iter	Logloss
0	0.548258122711	0.447841605
2	0.358555603
3	0.2965352309
4	0.2548635985
5	0.2167471635
6	0.1800599349
7	0.1548121603
8	0.1400819076
9	0.1243437516
10	0.1132546776
11	0.1032185505
12	0.09508254848
13	0.0883028581
14	0.08166584526
15	0.07691296843
16	0.07100603261
17	0.0663501946
18	0.06219667258
19	0.05835911662
20	0.05426899428
21	0.04965750704
22	0.04826765454
23	0.04546661967
24	0.04256245033
25	0.04080838764
26	0.03787161886
27	0.03587177119
28	0.03375878776
29	0.03217680921
30	0.03079559385
31	0.02960491918
32	0.02789156953
33	0.02652743182
34	0.02526206823
35	0.0243147034
36	0.02314394037
37	0.02244826936
38	0.02175066643
39	0.02121407224440	0.0203228058341	0.02046049269
42	0.01977155083
43	0.01890583289
44	0.01790733588
45	0.0174995987
46	0.01664309125
47	0.01621533444
48	0.0157649241
49	0.01522679831
50	0.01478883593
51	0.01440581773
52	0.01389089258
53	0.01350777777
54	0.01317351366
55	0.01277662829
56	0.01248616545
57	0.01218200734
58	0.01168678058
59	0.01142226771
60	0.01110474687
61	0.01093403666
62	0.01064676987
63	0.01035923079
64	0.01014321603
65	0.01009441363
66	0.009783054653
67	0.009557897166
68	0.009315759257
69	0.009004561525
7070	0.008657575887171	0.008486991672	72	0.00832580967
73	0.008122094517474	0.007978282024
75	0.007802415754
76	0.007623298881
77	0.00750728735
78	0.007392099838
79	0.007213523707
80	0.007032768014881	0.006860611979882	0.006722745822
83	0.006564623302
84	0.006455693048
85	0.006336777481
86	0.00616037354
87	0.006041146431
88	0.005913582045
89	0.005794510399
90	0.005678489036
91	0.00562305303
92	0.005516599749
93	0.005438643632
94	0.005355965231
95	0.005341846304
96	0.005258095633
97	0.005247038664
98	0.005152730598
99	0.005070107192
27063
