iter	Passed	Remaining
0	8	855
1	18	914
2	2	43	133	43	52	124	44	64	1225
5	82	1285
6	109	1448
7	120	1390
8	141	143419	158	1429
11	190	1397
12	196	1317
13	203	1252
14	212	1203
15	220	1158
16	232	1133
17	237	1083
18	250	1066
19	265	1061
20	274	1031
21	284	1009
22	314	1052
23	326	1034
24	339	1019
25	346	985
26	357	965
27	363	935
28	370	907
29	379	885
30	390	869
31	399	848
32	405	823
33	412	800
34	420	780
35	432	769
36	440	749
37	445	727
38	450	705
39	454	681
40	459	660
41	465	41	473	654
42	499	662
43	525	669
44	545	667
45	557	654
46	563	635
47	571	619
48	577	601
49	585	585
50	595	572
51	603	557
52	611	542
53	622	529
54	630	515
55	636	500
56	642	484
57	650	470
58	657	456
59	663	442
60	675	431
61	681	417
62	690	405
63	700	393
64	707	381
65	712	367
66	721	355
67	727	342
68	733	329
69	770	747	305
71	757	294
72	765	283
73	769	270
74	786	262
75	801	253
76	808	241
77	814	229
78	816	217
79	824	206
80	828	194
81	834	183
82	842	172
83	848	161
84	859	151
85	862	140
86	866	129
87	872	119
88	876	108
89	881	97
90	884	87
91	888	77
92	890	67
93	893	57
94	897	47
95	900	37
96	904	27
97	907	18
98	912	9
99	914	0
	916	0
1
98	1079	10
99	1084	0
2
99	1202	0
